max_len,embedding_input,embedding_dim,epochs,batch_size,hidden_neuron,lr,dropout,optimizer,losses,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
8,onehot,0,8,64,16,0.0002,0.2,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6535197609946841,0.6435082,0.6415945,0.65122765,0.64614105,0.649356484413147,0.628125011920929,0.6277369260787964,0.629687488079071,0.6284569501876831
8,onehot,0,9,64,16,0.0002,0.2,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6426427208241963,0.64592636,0.64462745,0.65085566,0.6475613,0.6394530534744263,0.6382812261581421,0.6375106573104858,0.640625,0.6389085054397583
8,onehot,0,10,64,16,0.0002,0.2,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6338768466597512,0.65355283,0.6519755,0.65866816,0.65517384,0.63276207447052,0.6484375,0.6457175016403198,0.6578124761581421,0.651555061340332
11,onehot,0,1,16,128,0.001,0,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6938778573432854,0.44413716,0.41497898,0.28521386,0.33382475,0.6940779685974121,0.4702380895614624,0.463034987449646,0.3422619104385376,0.38908544182777405
11,onehot,0,2,16,128,0.001,0,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6937964542777137,0.4606379,0.4489196,0.3486357,0.3893555,0.6941968202590942,0.4791666567325592,0.4747123718261719,0.3883928656578064,0.42553964257240295
11,onehot,0,3,16,128,0.001,0,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6937202125523998,0.47935104,0.4754974,0.4046829,0.4355431,0.694294810295105,0.4918154776096344,0.49214667081832886,0.4330357015132904,0.45976537466049194
11,onehot,0,4,16,128,0.001,0,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6936480490858927,0.49096608,0.49071416,0.4386062,0.46189022,0.6943738460540771,0.496279776096344,0.49775055050849915,0.4538690447807312,0.4740656316280365
11,onehot,0,5,16,128,0.001,0,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6935791186878463,0.49953908,0.5006063,0.46073008,0.47889966,0.6944359540939331,0.4985119104385376,0.49927833676338196,0.4657738208770752,0.48152288794517517
11,onehot,0,6,16,128,0.001,0,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6935127460147779,0.5031342,0.50452274,0.47511062,0.48869008,0.6944825649261475,0.4992559552192688,0.49941349029541016,0.4732142984867096,0.48560452461242676
11,onehot,0,7,16,128,0.001,0,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6934484125590255,0.5063606,0.5078084,0.484882,0.49559444,0.6945153474807739,0.5,0.501261293888092,0.4791666567325592,0.48960891366004944
11,onehot,0,8,16,128,0.001,0,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6933856866704328,0.5074668,0.5084213,0.49078172,0.49909586,0.6945356130599976,0.5022321343421936,0.5029619932174683,0.488095223903656,0.4951644539833069
11,onehot,0,9,16,128,0.001,0,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6933242536224096,0.5086652,0.5093943,0.49539086,0.5020204,0.6945447325706482,0.5029761791229248,0.5038689970970154,0.4910714328289032,0.4971614181995392
11,onehot,0,10,16,128,0.001,0,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6932638324467482,0.50884956,0.50924945,0.49723452,0.5029539,0.6945438385009766,0.5022321343421936,0.5031037330627441,0.4925595223903656,0.497577428817749
11,onehot,0,11,16,128,0.001,0,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6932042197140269,0.50949484,0.5097249,0.5,0.5046437,0.6945339441299438,0.5007440447807312,0.500878632068634,0.4925595223903656,0.49653735756874084
11,onehot,0,12,16,128,0.001,0,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.693145245049907,0.50986356,0.51005656,0.5014749,0.5055748,0.6945160627365112,0.5007440447807312,0.500878632068634,0.4925595223903656,0.49653735756874084
11,onehot,0,13,16,128,0.001,0,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6930867781681297,0.50995576,0.5102517,0.5022124,0.50605613,0.694490909576416,0.5007440447807312,0.500878632068634,0.4925595223903656,0.49653735756874084
11,onehot,0,14,16,128,0.001,0,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6930287070682267,0.5103245,0.5106913,0.50294983,0.5066559,0.6944593787193298,0.5007440447807312,0.500878632068634,0.4925595223903656,0.49653735756874084
