max_len,epochs,batch_size,embedding_input,embedding_dim,hidden_layers,hidden_neuron,lr,dropout,optimizer,losses,activation,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
,1,8,onehot,0,2,16,0.01,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.648952410723959,0.63016224,0.63241804,0.6314528,0.62955004,0.635863423347473,0.654761910438538,0.658139705657959,0.642857134342194,0.649854123592377
,2,8,onehot,0,2,16,0.01,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.631925618358418,0.65707964,0.65696853,0.65855455,0.65745443,0.635431885719299,0.668898820877075,0.667989432811737,0.671130955219269,0.669467806816101
,3,8,onehot,0,2,16,0.01,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.629715749691721,0.65505165,0.6551658,0.65505165,0.655074,0.652119398117065,0.659226179122925,0.659226179122925,0.659226179122925,0.65922611951828
,4,8,onehot,0,2,16,0.01,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.636885410345058,0.6526549,0.65268415,0.6526549,0.6526621,0.630672156810761,0.651785731315613,0.651785731315613,0.651785731315613,0.651785671710968
,5,8,onehot,0,2,16,0.01,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.633121176587093,0.65210176,0.65210176,0.65210176,0.6521017,0.622604191303253,0.665178596973419,0.665178596973419,0.665178596973419,0.665178537368774
,6,8,onehot,0,2,16,0.01,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.633304923465118,0.6524705,0.6524705,0.6524705,0.65247047,0.609866619110107,0.665178596973419,0.665178596973419,0.665178596973419,0.665178537368774
,7,8,onehot,0,2,16,0.01,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.637932668788946,0.6519174,0.6519174,0.6519174,0.65191734,0.623488783836365,0.671130955219269,0.671130955219269,0.671130955219269,0.671130955219269
,8,8,onehot,0,2,16,0.01,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.635530830924138,0.6526549,0.6526549,0.6526549,0.6526548,0.641753315925598,0.666666686534882,0.666666686534882,0.666666686534882,0.666666626930237
,9,8,onehot,0,2,16,0.01,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.635178385824405,0.6557891,0.6557891,0.6557891,0.6557891,0.62660562992096,0.671130955219269,0.671130955219269,0.671130955219269,0.671130895614624
,10,8,onehot,0,2,16,0.01,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.631509192969243,0.6583702,0.6583702,0.6583702,0.6583702,0.578906416893005,0.663690447807312,0.663690447807312,0.663690447807312,0.663690447807312
