max_len,embedding_input,embedding_dim,epochs,batch_size,hidden_neuron,lr,dropout,optimizer,losses,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
10,onehot,0,2,16,32,0.01,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.097995555559794,0.34325,0.0,0.0,0.0,1.0993905067443848,0.34124332666397095,0.0,0.0,0.0
10,onehot,0,3,16,32,0.01,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.097314223051071,0.358375,0.0,0.0,0.0,1.098360300064087,0.3385695219039917,0.0,0.0,0.0
10,onehot,0,4,16,32,0.01,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0965963405768075,0.36595833,0.0,0.0,0.0,1.0976207256317139,0.37767380475997925,0.0,0.0,0.0
10,onehot,0,5,16,32,0.01,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.09567209649086,0.36954167,0.0,0.0,0.0,1.0978363752365112,0.36296790838241577,0.0,0.0,0.0
10,onehot,0,1,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0983981340326727,0.3332219,0.0,0.0,0.0,1.098549723625183,0.34375,0.0,0.0,0.0
10,onehot,0,2,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0983232878108713,0.3425802,0.0,0.0,0.0,1.0984718799591064,0.35258153080940247,0.0,0.0,0.0
10,onehot,0,3,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.098259820020135,0.3515625,0.0,0.0,0.0,1.0984619855880737,0.35495924949645996,0.0,0.0,0.0
10,onehot,0,4,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0981940623910669,0.3587901,0.0,0.0,0.0,1.0985195636749268,0.34986412525177,0.0,0.0,0.0
10,onehot,0,5,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.098129144964371,0.36025235,0.0,0.0,0.0,1.098526954650879,0.3461277186870575,0.0,0.0,0.0
10,onehot,0,6,128,128,0.005,0,<class 'keras.optimizers.SGD'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0980636397785044,0.36179814,0.0,0.0,0.0,1.098509430885315,0.34952446818351746,0.0,0.0,0.0
