max_len,embedding_input,embedding_dim,epochs,batch_size,hidden_layers,hidden_neuron,lr,dropout,optimizer,losses,activation,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
20,one_hot,0,17,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,0.9535386836528779,0.5705,0.7703831,0.187875,0.29715016,0.9139469861984253,0.5369623899459839,0.7089856266975403,0.16801075637340546,0.26721128821372986
20,one_hot,0,18,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,0.9497636062304179,0.57220834,0.764679,0.19570833,0.3069952,0.9092177152633667,0.5376344323158264,0.7034292817115784,0.17204301059246063,0.271940141916275
20,one_hot,0,19,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,0.9462173715432485,0.57475,0.76436335,0.20225,0.31530035,0.9049831032752991,0.5386424660682678,0.6979693174362183,0.17943547666072845,0.28108006715774536
20,one_hot,0,20,32,0,128,0.0001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,none,softmax,0.9428905065059662,0.57575,0.7598296,0.208875,0.32317176,0.9010525941848755,0.5393145084381104,0.6909667253494263,0.1854838728904724,0.28810301423072815
10,learn,25,1,64,2,16,0.002,0.1,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,1.0104279470443727,0.47970834,0.5429563,0.18829167,0.27058542,0.9692472219467163,0.532608687877655,0.6544102430343628,0.27513587474823,0.38550347089767456
10,learn,25,2,64,2,16,0.002,0.1,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.8787270803451538,0.5933333,0.67096096,0.43954167,0.5295161,1.0227735042572021,0.5234375,0.5861825346946716,0.3712635934352875,0.4534608721733093
10,learn,25,3,64,2,16,0.002,0.1,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.7458635233243307,0.6688333,0.7301533,0.581625,0.6464839,1.136488914489746,0.5078125,0.5455325841903687,0.39741846919059753,0.4592292308807373
10,learn,25,4,64,2,16,0.002,0.1,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.632205978790919,0.7300417,0.7749982,0.6699167,0.7180538,1.3100595474243164,0.500339686870575,0.5167713165283203,0.4256114065647125,0.46638160943984985
10,learn,25,5,64,2,16,0.002,0.1,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.5523242967923482,0.7683333,0.80675626,0.72420835,0.7628278,1.4131474494934082,0.48607337474823,0.5013723373413086,0.440557062625885,0.46878963708877563
20,learn,25,1,128,2,16,0.001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,1.0921360853521582,0.37057152,0.0106951855,8.355615e-05,0.00016581683,1.0731501579284668,0.4663722813129425,0.0,0.0,0.0
20,learn,25,2,128,2,16,0.001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,1.0211815999790947,0.4820772,0.6611716,0.122075535,0.19361995,0.9948242902755737,0.52173912525177,0.6378477811813354,0.2398097813129425,0.34800052642822266
